#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
8,7,nan,nan,11.313708500235355,79.47670610631417,11.882173538394706,38.25694577672872
8,8,nan,3.4655631053852946e-08,11.313708498629554,79.4767061366423,11.882173518145333,38.25694570251206
8,9,1.9228289644827414e-08,5.802316507491398e-08,11.313708503904936,79.47670615151102,11.882173521852609,38.25694570768772
8,10,1.2426305581074339e-08,6.395280578679673e-08,11.31370850272916,79.47670616887537,11.882173521131115,38.25694571146867
8,11,nan,9.17445625927992e-08,11.313708502730972,79.47670623847843,11.882173521139046,38.25694573348476
8,12,nan,7.566589558389144e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
8,13,nan,3.690746812961691e-08,11.313708502730966,79.47670616887306,11.882173521139034,38.25694571146235
8,14,nan,7.910611861782684e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
8,15,nan,8.674069998974667e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
8,16,7.1327035005326694e-09,7.308644048278577e-08,11.313708502730966,79.47670616887224,11.882173521139034,38.256945711459835
8,17,nan,4.842323974204565e-08,11.313708502730966,79.47670616887261,11.882173521139034,38.256945711463324
8,18,nan,7.611692370056858e-08,11.313708502730966,79.47670616887306,11.882173521139034,38.25694571146235
8,19,nan,7.263935347130295e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
8,20,nan,5.96403775765884e-08,11.313708502730966,79.47670616887243,11.882173521139034,38.25694571146164
9,2,nan,nan,12.727786309482118,89.06930737459444,13.363804996587053,42.91454013110437
9,3,2.375655411233988e-08,nan,12.727921714377114,89.4071948269383,13.36315674271615,43.04190438691825
9,4,2.6539547181221074e-08,nan,12.727922050404509,89.41126537651279,13.366349993847539,43.03699789004548
9,5,1.9593027055059363e-08,nan,12.727922050524814,89.41129423727885,13.366288641463383,43.03736553444333
9,6,nan,nan,12.72792205174129,89.41129438859566,13.366299546438285,43.03731413843554
9,7,nan,nan,12.727922050124334,89.41129437678848,13.366299281708539,43.037314184713445
9,8,nan,nan,12.72792205103064,89.41129438579904,13.36629930576136,43.03731414672193
9,9,1.0330626208628829e-08,1.6426224608828625e-05,12.72792205207591,89.41129438348055,13.366299306283679,43.03731414519055
9,10,nan,nan,12.72792205190854,89.41129438193411,13.36629930628966,43.03731414502178
9,11,1.8063719029974384e-08,0.00011029323047463536,12.727922051909143,89.41129447107939,13.3662993062927,43.03731416678418
9,12,nan,7.009844208019564e-08,12.727922051909143,89.41129438218137,13.366299306292698,43.03731414505646
9,13,1.7240866735130514e-08,nan,12.727922051909143,89.41129438218137,13.366299306292698,43.03731414505646
9,14,nan,nan,12.727922051909143,89.41129438218137,13.366299306292698,43.03731414505646
9,15,1.3642102366326968e-08,nan,12.727922051909143,89.41129438219797,13.366299306292698,43.03731414506416
9,16,nan,1.6380844185532153e-05,12.727922051909143,89.41129438217943,13.366299306292698,43.037314145055014
9,17,nan,nan,12.727922051909143,89.41129438221348,13.366299306292698,43.03731414506896
9,18,1.5233988480332283e-08,nan,12.727922051909143,89.41129438221327,13.366299306292698,43.03731414506906
9,19,nan,nan,12.727922051907777,89.41129438218137,13.366299306289926,43.03731414505646
9,20,2.919131667740399e-08,nan,12.727922051909143,89.41129438218215,13.366299306292698,43.03731414505768
10,2,1.8998563287924826e-08,nan,14.142070236324347,99.0921583136014,14.821300189014297,47.77705449523017
10,3,nan,4.706234946751615e-08,14.142135484932163,99.34343145860065,14.855936616256603,47.80188121238466
10,4,2.9265157855809656e-08,3.761236609048072e-08,14.14213562169127,99.34586864288939,14.852739040011611,47.81767647923891
10,5,4.178213512652802e-08,nan,14.142135619389736,99.34588259398345,14.852722239892836,47.81760464359282
10,6,6.138068166411287e-08,4.976805675565675e-09,14.142135618538912,99.34588266165781,14.852726101785288,47.81765703844224
10,7,3.116708571464441e-08,1.5895766023387315e-08,14.142135619040946,99.34588263734605,14.852726103571872,47.81765719103741
10,8,nan,4.419914176387964e-08,14.142135619610178,99.34588265718635,14.852726099520847,47.817657276113664
10,9,nan,nan,14.142135620807737,99.34588266245358,14.852726100498458,47.81765727804288
10,10,4.3258060999242e-08,2.3004290764005595e-08,14.142135620873825,99.34588266060695,14.852726100457435,47.81765727769987
10,11,2.7728734382324495e-08,nan,14.142135620873825,99.34588276595122,14.852726100457419,47.81765730384277
10,12,nan,nan,14.142135620873825,99.34588266060712,14.852726100457426,47.81765727770122
10,13,nan,nan,14.142135620873825,99.34588266060712,14.852726100457426,47.81765727770122
10,14,3.571804014803158e-08,nan,14.142135620873825,99.34588266060713,14.852726100457426,47.81765727770122
10,15,nan,nan,14.142135620873825,99.34588266060713,14.852726100457426,47.81765727770122
10,16,3.8686597802583465e-08,8.06132507683014e-06,14.142135620873825,99.34588266060692,14.85272610045742,47.81765727769989
10,17,2.0513531365921688e-08,8.947097367646227e-06,14.142135620873825,99.34588266060739,14.852726100457426,47.81765727770131
10,18,2.0542096681561723e-08,nan,14.142135620873825,99.34588266060715,14.852726100457426,47.81765727770122
10,19,1.3467198399829417e-08,nan,14.142135620873825,99.34588266060713,14.85272610045742,47.81765727770122
10,20,3.7644938572212986e-08,nan,14.142135620873825,99.34588266060712,14.852726100457426,47.81765727770122
11,2,6.003068296374377e-09,7.719627815055954e-08,15.55631547435386,109.08727945998916,16.334829386858484,52.53271698110419
11,3,nan,3.726912398589878e-08,15.556349110146526,109.27893471165099,16.33531518986661,52.60379439751087
11,4,5.2549147184146806e-09,nan,15.556349165948966,109.2804636762515,16.3370299211939,52.60183481090759
11,5,nan,nan,15.556349167033813,109.28047088540919,16.33703831683032,52.6019035121542
11,6,nan,8.071076844937585e-08,15.556349167867175,109.28047091909876,16.337041776201264,52.601886920582075
11,7,nan,4.0388827809682467e-08,15.55634916660142,109.28047091516737,16.33704177590062,52.60188683082258
11,8,2.930549908138706e-08,nan,15.556349166980121,109.28047090795481,16.337041781679737,52.60188681853135
11,9,nan,1.0030934346776014e-05,15.55634916722557,109.28047091526027,16.337041781717915,52.601886820052094
11,10,nan,4.056248613354581e-08,15.55634916709066,109.28047091554251,16.33704178168066,52.60188682012007
11,11,nan,7.869248184319762e-05,15.556349167061887,109.28047103940624,16.337041781663807,52.60188685029082
11,12,3.458581310162077e-08,nan,15.556349167061887,109.28047091554251,16.337041781663807,52.60188682012008
11,13,nan,nan,15.556349167061887,109.28047091554251,16.337041781663807,52.60188682012008
11,14,2.541641250729864e-08,nan,15.556349167061887,109.28047091554251,16.337041781663807,52.60188682012008
11,15,nan,1.9152597925875067e-05,15.556349167061887,109.28047091554542,16.337041781663807,52.60188682012006
11,16,nan,2.1409691063625237e-05,15.556349167061887,109.28047091551156,16.337041781663807,52.60188682011348
11,17,nan,nan,15.556349167061887,109.28047091557077,16.337041781663807,52.601886820126374
11,18,nan,nan,15.556349167061887,109.28047091554251,16.337041781663807,52.60188682012008
11,19,2.6775360756975824e-08,nan,15.556349167061887,109.28047091554251,16.337041781663807,52.60188682012008
11,20,3.0630861536057516e-08,nan,15.556349167061887,109.28047091554427,16.337041781663807,52.601886820127035
12,2,2.2284241197413996e-08,nan,16.970544377661408,119.06469992348312,17.830421913557604,57.32929788117476
12,3,nan,nan,16.97056272115103,119.21405785886954,17.822630597234657,57.385411208113595
12,4,nan,nan,16.97056274741114,119.21505520179478,17.823255508489723,57.385536584725884
12,5,nan,1.7840027893325854e-08,16.970562751861348,119.21505912974756,17.82321252546693,57.385462250785665
12,6,nan,3.5198402105966916e-08,16.97056274800824,119.21505919481572,17.823213897091346,57.385466647519976
12,7,2.5658106147734882e-08,nan,16.970562747456658,119.21505917762433,17.823213861405307,57.38546654916614
12,8,4.469370883339841e-09,nan,16.97056275085195,119.21505918071612,17.823213863734594,57.385466551010836
